,job_title,company_name,date,location,skills,links,salary,responsabilites
0,Senior Data Analyst / Business Intelligence,Confidential -,3 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Computer Science · Analysis · Data Analysis · BI · Power BI · Project Management · Analyst · Data Analyst · Oracle · Odoo,https://wuzzuf.net/jobs/p/QTivZNMh77oO-Senior-Data-Analyst-Business-Intelligence-Cairo-Egypt?o=1&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"8,000 to 15,000 EGP per month","3+ years in a data analyst role at least. | Perfect in using Excel Power Query, Microsoft Power BI, Odoo CRM, and Oracle CRM ( Eloqua, Right Now … etc) | Expert-level proficiency with Excel and PowerPoint. Experience with Social Media Dashboards, Google Analytics, and Data Visualization tools. | Ability to collaborate effectively and work as part of a team | Strong attention to detail | Solid understanding of core social channels; LinkedIn, Facebook, Twitter, Instagram, YouTube, along with their corresponding data sets and common KPIs. | Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives. | Collaborative in nature with a passion for developing relationships. | Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment. | Bachelor’s Degree in Business Administration or Business Informatics is a plus. | "
1,Data Analyst,Shiny white dental center ,1 day ago,"Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Data Analysis · Analysis · Data Analyst · Information Technology (IT) · Data · Analytical · Business · Reporting · SQL · Python,https://wuzzuf.net/jobs/p/vB9CF2PaHm4K-Data-Analyst-Shiny-white-dental-center-Cairo-Egypt?o=2&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Proven working experience as a Data Analyst or Business Data Analyst | Programming languages, such as SQL, Oracle and Python | The ability to analyse, model and interpret data | Problem-solving skills | A methodical and logical approach | The ability to plan work and meet deadlines | Accuracy and attention to detail | Interpersonal skills | Teamworking skills | Written and verbal communication skills | "
2,Senior Data Analyst\Trainer,Pharous LLC,16 days ago,"Alexandria, Egypt ",Full timeExperienced · 3 - 6 Yrs of Exp · Data Analysis · Analysis · Computer Science · SQL · Python · Business Intelligence · MIS · Microsoft Excel · Data · Information Technology (IT),https://wuzzuf.net/jobs/p/wHvT3pIOIzOW-Senior-Data-AnalystTrainer-Pharous-LLC-Alexandria-Egypt?o=3&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, Bonuses and Allowances","Bachelor degree in MIS, computer science or any relevant degree | Willing to constantly travel for training duties abroad within the gulf area | Experience in data models and reporting packages | Exceptional Microsoft Excel skills | Knowledge of SQL and Python\ statistical programming | Ability to write comprehensive reports and analyze large data sets | Has strong analytics skills and attention to detail | Strong communication and presentation skills | Experience in business intelligence | "
3,Data Analyst,Confidential -,15 days ago,"Cairo, Egypt ",Full timeWork from homeEntry Level · 1 - 2 Yrs of Exp · Data Analysis · Reporting · Statistics · Data Management · Computer Science · Information Technology (IT) · Microsoft Office · Market Research · Analysis · Marketing,https://wuzzuf.net/jobs/p/QWmyf5fYfT3M-Data-Analyst-Cairo-Egypt?o=4&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,Solid experience in data analysis and reporting. | 
4,Data Analyst (Work From Home),DFW RE BUYERS LLC,15 days ago,"Dallas, United States ",Full timeWork from homeEntry Level · 1 - 3 Yrs of Exp · Computer Skills · Microsoft Office · Cold Calling · Data Analysis · Microsoft Excel · English · Sales Analysis · Real Estate · Analyst/Research · Sales/Retail,https://wuzzuf.net/jobs/p/FoDW3k7ZUO8m-Data-Analyst-Work-From-Home-DFW-RE-BUYERS-LLC-Dallas-United-States?o=5&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"4,000 to 4,500 EGP per month","Excellent communication skills in English. In both, speaking and writing. | Must have FAST internet at home. | Excel proficiency  | Must be able to work according to U.S. schedule From 10AM to 6PM CST ( 6PM to 2AM Egypt Time) | Must be comfortable talking to people on the phone and cold calling potential clients. | "
5,Marketing Data Analyst.,IFSM,16 days ago,"Alexandria, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Analysis · Market Research · Marketing · Data Analysis · Microsoft Word · Microsoft excel · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing,https://wuzzuf.net/jobs/p/THHsE7cZfxiy-Marketing-Data-Analyst-IFSM-Alexandria-Egypt?o=6&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,A proven work experience more than 1 year. | Ability to meet deadlines and collaborate with a team | Creative and has an artistic sense. | 
6,Repair Order Data Analyst,OPPO Egypt ,17 days ago,"Heliopolis, Cairo, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · Microsoft PowerPoint · Microsoft Outlook · Microsoft Word · Customer Service · After Sales · Electronics · Analysis · Data Analysis · English · Arabic,https://wuzzuf.net/jobs/p/ifd1krl7Ob7G-Repair-Order-Data-Analyst-OPPO-Egypt-Cairo-Egypt?o=7&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"5,000 to 5,200 EGP per month, +Allowances,Commission","Bachelor Degree | 1 to 2 Years’ experience in After sales/Service Experience Preferred Electronics | V.Good Command of Arabic & English language skills. | Data analysis background is a must | Proficiency in Microsoft Office (Excel, Outlook, Word, and Powerpoint.) | Males only  | "
7,Business Data Analyst,ElMehy Engineering Company,19 days ago,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Analysis · Data Analysis · Business Analysis · Business Administration · Computer Science · Data Analyst · Administration · CBAP · Business · Data,https://wuzzuf.net/jobs/p/UaU5xlQfM8Jj-Business-Data-Analyst-ElMehy-Engineering-Company-Cairo-Egypt?o=8&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,Bachelor’s Degree in Business Administration or business Informatics | 3+ years in a data analyst role  | Preferred CBAP certificate  | Perfect in using Excel Power Query  | Ability to collaborate effectively and work as part of a team  | Strong attention to detail  | 
8,Social Media Analyst & Data Visualization,Digitology,25 days ago,"Giza, Egypt ",Full timeEntry Level · 1 - 4 Yrs of Exp · Analysis · Research · Social Media · Visualization · Data · Marketing · Media · Google Analytics · E-marketing · English,https://wuzzuf.net/jobs/p/LmkX5968RQkD-Social-Media-Analyst-Data-Visualization-Digitology-Giza-Egypt?o=9&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, Social Insurance
Medical Insurance","Solid understanding of core social channels; LinkedIn, Facebook, Twitter, Instagram, YouTube, along with their corresponding data sets and common KPIs. | Expert-level proficiency with Excel and PowerPoint. Experience with Social Media Dashboards, Google Analytics, and Data Visualization tools. | Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives. | Team player, detail-oriented, self-starter, optimistic outlook. | Collaborative in nature with a passion for developing relationships. | Strong project management skills with ability to prioritize multiple requests in a fast-paced environment. | "
9,Warehouse Data Analyst,Lecico Egypt,24 days ago,"Alexandria, Egypt ",Full timeEntry Level · 0 - 2 Yrs of Exp · Business Analysis · Analysis · Logistics · Warehousing · English · Logistics/Supply Chain · Analyst/Research,https://wuzzuf.net/jobs/p/kwDfGbQfh0r0-Warehouse-Data-Analyst-Lecico-Egypt-Alexandria-Egypt?o=10&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,BSc of faculty of commerce. | High level of attention to details. | Fluent in English. | Resident in Alexandria. | Good knowledge of Microsoft office package. | 
10,Data Analyst,Confidential -,24 days ago,"Maadi, Cairo, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · Data Analysis · Analysis · HR Analysis · Human Resources · Human Resources · Analyst/Research,https://wuzzuf.net/jobs/p/NHvGZvo8RyuR-Data-Analyst-Cairo-Egypt?o=11&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Any Bachelor degree | Working Days 6 days , from 09 to 05 | Preferable Male | "
11,Data Analyst,MOTHOL,29 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 4 - 6 Yrs of Exp · Data Analysis · Analysis · Analytical · MS Office · Excel · English · Analyst/Research,https://wuzzuf.net/jobs/p/Id68ZdEChHoc-Data-Analyst-MOTHOL-Cairo-Egypt?o=12&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor Degree | Fluent in English | Planning and organizing | Proficient in MS Office (Excel, Access, Word, PowerPoint etc.). | Analytical Skills . | "
12,Pricing Analyst,Breadfast,1 month ago,"Maadi, Cairo, Egypt ",Full timeEntry Level · 1 - 4 Yrs of Exp · Pricing · Analyst · Data · Accounting · Finance · Microsoft Office · English · Accounting/Finance · Marketing/PR/Advertising · Analyst/Research,https://wuzzuf.net/jobs/p/CKZINB1p67rW-Pricing-Analyst-Breadfast-Cairo-Egypt?o=13&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Professional knowledge of Microsoft office (Word, Power point, Excel, Access)  | Professional command of the English language  | Very good communication skills  | "
13,Data Analyst,Al Watania Poultry,11 days ago,"Beheira, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Data Analysis · Excel · Computer Science · VLOOKUP · Pivot Table · Analytical · statistics · Economics · Analysis · Information Technology (IT),https://wuzzuf.net/jobs/p/UKSdxVFSsloP-Data-Analyst-Al-Watania-Poultry-Beheira-Egypt?o=14&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor Degree. | Have experience as a Cost Accountant. | Excellent user of Excel formulas likes Pivot table, VLOOKUP, count, sum, tables and etc. | Ability to analyse large datasets. | Experience from 3:5 years prefer in Poultry industries. | Time Management. | Strong analytical skills. | "
14,Business Analyst,Caelum Middle East,1 month ago,"Dokki, Giza, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Startup · Buisness Analysis · Information Technology (IT) · Computer Science · Computer Engineering · BOM · Big Data · IoT · SaaS · TFS,https://wuzzuf.net/jobs/p/6EqF1qYQJ21V-Business-Analyst-Caelum-Middle-East-Giza-Egypt?o=15&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"3+ years of business analysis or System Analysis experience | Computer Science or Engineering degree | Knowledge of hardware and software programming languages. | Previous Development experience is a plus | Good Knowledge of MS Tools like, office, TFS and MS Teams | Knowledge of Big Data, IoT and SaaS concepts is a plus. | Solid knowledge and experience in business analysis, requirements analysis and software engineering | Great understanding of software lifecycle management | High Analytical Skills for identifying solution for complex problems | Good ability to facilitate, plan and manage workshops or activities | Very good interpersonal skills, strong ability to communicate, drive business, lead change and co-operation | Flexibility regarding new topics, quick understanding of new market demands including technology and business topics | High motivation to take responsibility and provide insights for decision makers under complex circumstances | Experience in preparing pricing sheets and Bill of Materials (BOM). | Capability to benchmark competitors and identify ideas for having competitive edge products | "
